period,naeti,naetipublic,naetiprivate,naetipart,naetimrz,zaplsr,zaplsrpublic,zaplsrprivate,mrz
2007q3,73115,17730,55385,4169,10614,364,477,327,180
2007q4,72409,16938,55471,3993,9413,385,504,349,180
2008q1,75299,16765,58534,4199,13411,405,500,378,220
2008q2,76496,16545,59951,4131,12716,432,547,401,220
2008q3,76539,16189,60350,4298,12891,448,597,409,220
2008q4,73822,16241,57581,5095,9431,464,610,424,220
2009q1,74181,16231,57950,5652,7863,479,606,443,240
2009q2,72877,,,6379,8299,496,630,458,240
2009q3,73155,16778,56377,5555,7677,501,647,458,240
2009q4,72306,16211,56095,6425,7632,513,670,466,240
2010q1,69280,15090,54190,7558,6171,521,641,486,240
2010q2,69262,14509,54438,6416,6038,536,661,500,240
2010q3,67919,14708,53211,6076,6327,546,675,509,240
2010q4,67817,,,,,562,,,240
2011q1,65042,14199,50843,6800,6085,566,662,538,240
2011q2,66702,14492,52210,6871,6338,573,678,541,240
2011q3,66678,14699,51979,6964,6427,575,672,546,240
2011q4,65133,14634,50499,5914,6130,601,748,558,270
2012q1,64800,14500,50300,4400,5900,565,661,537,270
2012q2,67600,14700,52900,4000,6700,588,691,558,290
2012q3,67800,15600,52200,4000,6000,591,684,564,290
2012q4,66100,15500,50500,3800,5400,614,730,578,290
2013q1,69500,15700,53800,4800,9100,611,687,589,310
2013q2,69500,15200,54300,4600,9400,640,728,614,310
2013q3,68500,14600,53800,4500,7200,643,725,620,310
2013q4,67300,14100,53200,4600,7500,664,800,626,310
2014q1,67900,14000,53900,4100,10000,659,751,635,340
2014q2,68700,14000,54700,4200,10900,677,777,651,340
2014q3,67300,13800,53500,3800,10200,686,768,665,340
2014q4,65900,13700,52200,3900,9500,712,844,677,340
2015q1,68100,13617,54549,5200,10400,675,771,650,360
2015q2,69100,13600,55500,5300,11200,696,797,670,360
2015q3,68400,13500,54900,5100,10900,702,790,680,380
2015q4,66800,13100,53700,5000,10800,729,881,691,380
2016q1,69200,13100,56100,4000,12900,761,834,743,420
2016q2,70800,13400,57400,4800,12800,785,862,766,420
2016q3,70700,13400,57300,4400,13000,795,843,783,420
2016q4,70400,13600,56800,5000,11700,828,932,803,420
2017q1,68400,13500,54900,4300,16200,814,885,796,460
2017q2,68600,13500,55100,4300,15900,852,921,835,460
2017q3,67600,13300,54300,4200,15100,841,899,827,460
