godina,mesec,mrz
2008,1,220
2008,2,220
2008,3,220
2008,4,220
2008,5,220
2008,6,220
2008,7,220
2008,8,220
2008,9,220
2008,10,220
2008,11,220
2008,12,220
2009,1,240
2009,2,240
2009,3,240
2009,4,240
2009,5,240
2009,6,240
2009,7,240
2009,8,240
2009,9,240
2009,10,240
2009,11,240
2009,12,240
2010,1,240
2010,2,240
2010,3,240
2010,4,240
2010,5,240
2010,6,240
2010,7,240
2010,8,240
2010,9,240
2010,10,240
2010,11,240
2010,12,240
2011,1,240
2011,2,240
2011,3,240
2011,4,240
2011,5,240
2011,6,240
2011,7,240
2011,8,240
2011,9,270
2011,10,270
2011,11,270
2011,12,270
2012,1,270
2012,2,270
2012,3,270
2012,4,270
2012,5,290
2012,6,290
2012,7,290
2012,8,290
2012,9,290
2012,10,290
2012,11,290
2012,12,290
2013,1,310
2013,2,310
2013,3,310
2013,4,310
2013,5,310
2013,6,310
2013,7,310
2013,8,310
2013,9,310
2013,10,310
2013,11,310
2013,12,310
2014,1,340
2014,2,340
2014,3,340
2014,4,340
2014,5,340
2014,6,340
2014,7,340
2014,8,340
2014,9,340
2014,10,340
2014,11,340
2014,12,340
2015,1,360
2015,2,360
2015,3,360
2015,4,360
2015,5,360
2015,6,360
2015,7,380
2015,8,380
2015,9,380
2015,10,380
2015,11,380
2015,12,380
2016,1,420
2016,2,420
2016,3,420
2016,4,420
2016,5,420
2016,6,420
2016,7,420
2016,8,420
2016,9,420
2016,10,420
2016,11,420
2016,12,420
2017,1,460
2017,2,460
2017,3,460
2017,4,460
2017,5,460
2017,6,460
2017,7,460
2017,8,460
2017,9,460
2017,10,460
2017,11,460
2017,12,460
2018,1,510
2018,2,510
2018,3,510
2018,4,510
2018,5,510
2018,6,510
2018,7,510
2018,8,510
2018,9,510
2018,10,510
2018,11,510
2018,12,510
